date,product,reviewer_role,company_size,rating_overall,rating_ease_of_use,rating_features,rating_support,rating_value,pros,cons,source
2025-08-04 20:45:03.484942,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-08-01 20:45:03.484950,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-07-29 20:45:03.484955,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-07-26 20:45:03.484959,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-07-23 20:45:03.484963,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-07-20 20:45:03.484968,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-07-17 20:45:03.484973,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-07-14 20:45:03.484976,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-07-11 20:45:03.484982,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-07-08 20:45:03.484987,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-07-05 20:45:03.484992,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-07-02 20:45:03.484997,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-06-29 20:45:03.485003,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-06-26 20:45:03.485009,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-06-23 20:45:03.485012,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-06-20 20:45:03.485018,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-06-17 20:45:03.485021,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-06-14 20:45:03.485024,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-06-11 20:45:03.485027,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-06-08 20:45:03.485030,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-06-05 20:45:03.485033,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-06-02 20:45:03.485036,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-05-30 20:45:03.485040,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-05-27 20:45:03.485043,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-05-24 20:45:03.485046,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-05-21 20:45:03.485049,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-05-18 20:45:03.485052,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-05-15 20:45:03.485055,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-05-12 20:45:03.485058,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-05-09 20:45:03.485063,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-05-06 20:45:03.485066,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-05-03 20:45:03.485069,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-04-30 20:45:03.485073,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-04-27 20:45:03.485075,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-04-24 20:45:03.485078,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-04-21 20:45:03.485081,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-04-18 20:45:03.485084,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-04-15 20:45:03.485090,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-04-12 20:45:03.485093,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-04-09 20:45:03.485096,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-04-06 20:45:03.485099,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-04-03 20:45:03.485101,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-03-31 20:45:03.485104,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-03-28 20:45:03.485107,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-03-25 20:45:03.485113,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-03-22 20:45:03.485116,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-03-19 20:45:03.485119,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-03-16 20:45:03.485121,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-03-13 20:45:03.485124,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-03-10 20:45:03.485127,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-03-07 20:45:03.485133,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-03-04 20:45:03.485136,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-03-01 20:45:03.485139,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-02-26 20:45:03.485142,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-02-23 20:45:03.485145,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-02-20 20:45:03.485147,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-02-17 20:45:03.485154,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-02-14 20:45:03.485158,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-02-11 20:45:03.485161,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-02-08 20:45:03.485163,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-02-05 20:45:03.485166,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-02-02 20:45:03.485169,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-01-30 20:45:03.485172,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-01-27 20:45:03.485175,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-01-24 20:45:03.485180,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-01-21 20:45:03.485183,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-01-18 20:45:03.485186,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2025-01-15 20:45:03.485189,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2025-01-12 20:45:03.485192,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2025-01-09 20:45:03.485195,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2025-01-06 20:45:03.485198,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2025-01-03 20:45:03.485203,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-12-31 20:45:03.485207,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-12-28 20:45:03.485210,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-12-25 20:45:03.485213,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-12-22 20:45:03.485216,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-12-19 20:45:03.485219,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-12-16 20:45:03.485224,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-12-13 20:45:03.485227,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-12-10 20:45:03.485230,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-12-07 20:45:03.485233,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-12-04 20:45:03.485237,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-12-01 20:45:03.485239,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-11-28 20:45:03.485242,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-11-25 20:45:03.485245,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-11-22 20:45:03.485250,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-11-19 20:45:03.485253,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-11-16 20:45:03.485256,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-11-13 20:45:03.485260,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-11-10 20:45:03.485263,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-11-07 20:45:03.485266,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-11-04 20:45:03.485269,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-11-01 20:45:03.485272,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-10-29 20:45:03.485277,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-10-26 20:45:03.485280,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-10-23 20:45:03.485283,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-10-20 20:45:03.485286,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-10-17 20:45:03.485289,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-10-14 20:45:03.485292,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-10-11 20:45:03.485294,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-10-08 20:45:03.485300,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-10-05 20:45:03.485303,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-10-02 20:45:03.485305,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-09-29 20:45:03.485308,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-09-26 20:45:03.485311,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-09-23 20:45:03.485314,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-09-20 20:45:03.485317,Asana,CTO,201-500,2.5,3.0,2.5,2.0,3.0,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-09-17 20:45:03.485322,Asana,Team Lead,501-1000,5.0,5.0,5.0,4.5,4.5,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-09-14 20:45:03.485327,Asana,Developer,1000+,3.0,3.5,3.0,3.5,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-09-11 20:45:03.485426,Asana,Software Engineer,1-50,4.5,4.0,4.5,5.0,4.0,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-09-08 20:45:03.485432,Asana,Product Manager,51-200,3.0,3.5,3.0,2.0,3.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
2024-09-05 20:45:03.485435,Asana,CTO,201-500,5.0,5.0,5.0,4.5,4.5,Best-in-class reporting. Dashboard is intuitive. Great customer support.,Integration with legacy systems is challenging. API rate limits too restrictive.,g2
2024-09-02 20:45:03.485438,Asana,Team Lead,501-1000,2.0,2.5,2.0,1.5,3.0,Affordable for startups. Basic features sufficient for small teams.,Customer support response time slow. Missing key features competitors have.,g2
2024-08-30 20:45:03.485441,Asana,Developer,1000+,4.0,4.5,4.0,4.0,4.0,Powerful automation capabilities. Scales well with team growth.,User interface feels dated. Performance issues with large datasets.,g2
2024-08-27 20:45:03.485448,Asana,Software Engineer,1-50,3.5,3.0,3.5,3.0,3.5,Excellent API documentation. Integration was straightforward. Performance is solid.,Learning curve is steep. Documentation could be more comprehensive. Some bugs in mobile app.,g2
2024-08-24 20:45:03.485451,Asana,Product Manager,51-200,4.5,4.0,4.5,5.0,4.5,Good feature set for the price. Team collaboration tools work well.,Pricing increases significantly at higher tiers. Limited customization options.,g2
